Time(s) ,Extension(mm),Load(kN),Flexural stress(MPa),Flexural strain(%)
72.1,1.2,0.04,20.11,0.7
72.2,1.2,0.04,20.06,0.7
72.3,1.2,0.04,20.1,0.7
72.4,1.21,0.04,20.21,0.7
72.5,1.21,0.04,20.18,0.7
72.6,1.21,0.04,20.24,0.7
72.7,1.21,0.04,20.27,0.71
72.8,1.21,0.04,20.32,0.71
72.9,1.21,0.04,20.31,0.71
73,1.22,0.04,20.34,0.71
73.1,1.22,0.04,20.49,0.71
73.2,1.22,0.04,20.4,0.71
73.3,1.22,0.04,20.44,0.71
73.4,1.22,0.04,20.49,0.71
73.5,1.22,0.04,20.56,0.71
73.6,1.23,0.04,20.6,0.71
73.7,1.23,0.04,20.67,0.72
73.8,1.23,0.04,20.66,0.72
73.9,1.23,0.04,20.62,0.72
74,1.23,0.04,20.65,0.72
74.1,1.23,0.04,20.7,0.72
74.2,1.24,0.04,20.72,0.72
74.3,1.24,0.04,20.77,0.72
74.4,1.24,0.04,20.79,0.72
74.5,1.24,0.04,20.83,0.72
74.6,1.24,0.04,20.91,0.72
74.7,1.24,0.04,20.92,0.73
74.8,1.25,0.04,20.95,0.73
74.9,1.25,0.04,20.94,0.73
75,1.25,0.04,21.06,0.73
75.1,1.25,0.04,21.02,0.73
75.2,1.25,0.04,21.13,0.73
75.3,1.25,0.04,21.07,0.73
75.4,1.26,0.04,21.13,0.73
75.5,1.26,0.04,21.13,0.73
75.6,1.26,0.04,21.2,0.73
75.7,1.26,0.04,21.23,0.74
75.8,1.26,0.04,21.26,0.74
75.9,1.26,0.04,21.28,0.74
76,1.27,0.04,21.36,0.74
76.1,1.27,0.04,21.36,0.74
76.2,1.27,0.04,21.4,0.74
76.3,1.27,0.04,21.43,0.74
76.4,1.27,0.04,21.42,0.74
76.5,1.27,0.04,21.49,0.74
76.6,1.28,0.04,21.55,0.74
76.7,1.28,0.04,21.55,0.74
76.8,1.28,0.04,21.61,0.75
76.9,1.28,0.04,21.65,0.75
77,1.28,0.04,21.67,0.75
77.1,1.28,0.04,21.69,0.75
77.2,1.29,0.04,21.72,0.75
77.3,1.29,0.04,21.74,0.75
77.4,1.29,0.04,21.79,0.75
77.5,1.29,0.04,21.8,0.75
77.6,1.29,0.04,21.88,0.75
77.7,1.29,0.04,21.89,0.75
77.8,1.3,0.04,21.88,0.76
77.9,1.3,0.04,21.97,0.76
78,1.3,0.04,21.99,0.76
78.1,1.3,0.04,22.02,0.76
78.2,1.3,0.04,22.04,0.76
78.3,1.3,0.05,22.1,0.76
78.4,1.31,0.05,22.04,0.76
78.5,1.31,0.05,22.17,0.76
78.6,1.31,0.05,22.17,0.76
78.7,1.31,0.05,22.22,0.76
78.8,1.31,0.05,22.19,0.77
78.9,1.31,0.05,22.24,0.77
79,1.32,0.05,22.33,0.77
79.1,1.32,0.05,22.37,0.77
79.2,1.32,0.05,22.35,0.77
79.3,1.32,0.05,22.4,0.77
79.4,1.32,0.05,22.48,0.77
79.5,1.32,0.05,22.51,0.77
79.6,1.33,0.05,22.48,0.77
79.7,1.33,0.05,22.51,0.77
79.8,1.33,0.05,22.56,0.77
79.9,1.33,0.05,22.57,0.78
80,1.33,0.05,22.64,0.78
80.1,1.33,0.05,22.65,0.78
80.2,1.34,0.05,22.71,0.78
80.3,1.34,0.05,22.72,0.78
80.4,1.34,0.05,22.79,0.78
80.5,1.34,0.05,22.76,0.78
80.6,1.34,0.05,22.74,0.78
80.7,1.34,0.05,22.87,0.78
80.8,1.35,0.05,22.9,0.78
80.9,1.35,0.05,22.9,0.79
81,1.35,0.05,22.95,0.79
81.1,1.35,0.05,22.97,0.79
81.2,1.35,0.05,23.01,0.79
81.3,1.35,0.05,23.08,0.79
81.4,1.36,0.05,23.08,0.79
81.5,1.36,0.05,23.13,0.79
81.6,1.36,0.05,23.15,0.79
81.7,1.36,0.05,23.22,0.79
81.8,1.36,0.05,23.21,0.79
81.9,1.36,0.05,23.21,0.8
82,1.37,0.05,23.31,0.8
82.1,1.37,0.05,23.36,0.8
82.2,1.37,0.05,23.33,0.8
82.3,1.37,0.05,23.37,0.8
82.4,1.37,0.05,23.41,0.8
82.5,1.37,0.05,23.39,0.8
82.6,1.38,0.05,23.45,0.8
82.7,1.38,0.05,23.5,0.8
82.8,1.38,0.05,23.56,0.8
82.9,1.38,0.05,23.5,0.81
83,1.38,0.05,23.55,0.81
83.1,1.38,0.05,23.64,0.81
83.2,1.39,0.05,23.68,0.81
83.3,1.39,0.05,23.69,0.81
83.4,1.39,0.05,23.8,0.81
83.5,1.39,0.05,23.77,0.81
83.6,1.39,0.05,23.82,0.81
83.7,1.39,0.05,23.88,0.81
83.8,1.4,0.05,23.89,0.81
83.9,1.4,0.05,23.88,0.81
84,1.4,0.05,23.9,0.82
84.1,1.4,0.05,23.95,0.82
84.2,1.4,0.05,23.97,0.82
84.3,1.4,0.05,24.04,0.82
84.4,1.41,0.05,24.01,0.82
84.5,1.41,0.05,24.12,0.82
84.6,1.41,0.05,24.07,0.82
84.7,1.41,0.05,24.17,0.82
84.8,1.41,0.05,24.13,0.82
84.9,1.41,0.05,24.25,0.82
85,1.42,0.05,24.26,0.83
85.1,1.42,0.05,24.26,0.83
85.2,1.42,0.05,24.26,0.83
85.3,1.42,0.05,24.36,0.83
85.4,1.42,0.05,24.38,0.83
85.5,1.42,0.05,24.4,0.83
85.6,1.43,0.05,24.4,0.83
85.7,1.43,0.05,24.52,0.83
85.8,1.43,0.05,24.51,0.83
85.9,1.43,0.05,24.58,0.83
86,1.43,0.05,24.59,0.84
86.1,1.43,0.05,24.6,0.84
86.2,1.44,0.05,24.65,0.84
86.3,1.44,0.05,24.64,0.84
86.4,1.44,0.05,24.7,0.84
86.5,1.44,0.05,24.68,0.84
86.6,1.44,0.05,24.74,0.84
86.7,1.44,0.05,24.85,0.84
86.8,1.45,0.05,24.85,0.84
86.9,1.45,0.05,24.87,0.84
87,1.45,0.05,24.93,0.84
87.1,1.45,0.05,24.93,0.85
87.2,1.45,0.05,24.98,0.85
87.3,1.45,0.05,25.06,0.85
87.4,1.46,0.05,25.05,0.85
87.5,1.46,0.05,25.07,0.85
87.6,1.46,0.05,25.07,0.85
87.7,1.46,0.05,25.14,0.85
87.8,1.46,0.05,25.16,0.85
87.9,1.46,0.05,25.19,0.85
88,1.47,0.05,25.26,0.85
88.1,1.47,0.05,25.23,0.86
88.2,1.47,0.05,25.25,0.86
88.3,1.47,0.05,25.38,0.86
88.4,1.47,0.05,25.36,0.86
88.5,1.47,0.05,25.37,0.86
88.6,1.48,0.05,25.48,0.86
88.7,1.48,0.05,25.45,0.86
88.8,1.48,0.05,25.48,0.86
88.9,1.48,0.05,25.53,0.86
89,1.48,0.05,25.58,0.86
89.1,1.48,0.05,25.59,0.87
89.2,1.49,0.05,25.61,0.87
89.3,1.49,0.05,25.64,0.87
89.4,1.49,0.05,25.69,0.87
89.5,1.49,0.05,25.67,0.87
89.6,1.49,0.05,25.76,0.87
89.7,1.49,0.05,25.83,0.87
89.8,1.5,0.05,25.84,0.87
89.9,1.5,0.05,25.81,0.87
90,1.5,0.05,25.92,0.87
90.1,1.5,0.05,25.9,0.88
90.2,1.5,0.05,25.95,0.88
90.3,1.5,0.05,25.98,0.88
90.4,1.51,0.05,26,0.88
